# Detection Metadata
detection_timestamp_utc,detection_timestamp_local,timezone_offset_hours,confidence,fall_detected,participant_name,participant_gender
2026-01-13T14:15:05.852842+00:00,2026-01-13T16:15:05.852842+00:00,2.0,0.000809526420198381,False,Sato_1,0

# Sensor Data
time,field,value,measurement,prediction,participant_gender
2026-01-13 14:14:55.242000+00:00,bosch_acc_x,1922.0,SMART_DATA,0,0
2026-01-13 14:14:55.262000+00:00,bosch_acc_x,2115.0,SMART_DATA,0,0
2026-01-13 14:14:55.282000+00:00,bosch_acc_x,1690.0,SMART_DATA,0,0
2026-01-13 14:14:55.302000+00:00,bosch_acc_x,593.0,SMART_DATA,0,0
2026-01-13 14:14:55.322000+00:00,bosch_acc_x,-997.0,SMART_DATA,0,0
2026-01-13 14:14:55.342000+00:00,bosch_acc_x,-2270.0,SMART_DATA,0,0
2026-01-13 14:14:55.362000+00:00,bosch_acc_x,-2974.0,SMART_DATA,0,0
2026-01-13 14:14:55.382000+00:00,bosch_acc_x,-3138.0,SMART_DATA,0,0
2026-01-13 14:14:55.402000+00:00,bosch_acc_x,-3474.0,SMART_DATA,0,0
2026-01-13 14:14:55.422000+00:00,bosch_acc_x,-4292.0,SMART_DATA,0,0
2026-01-13 14:14:55.443000+00:00,bosch_acc_x,-4759.0,SMART_DATA,0,0
2026-01-13 14:14:55.463000+00:00,bosch_acc_x,-4019.0,SMART_DATA,0,0
2026-01-13 14:14:55.483000+00:00,bosch_acc_x,-3107.0,SMART_DATA,0,0
2026-01-13 14:14:55.503000+00:00,bosch_acc_x,-2466.0,SMART_DATA,0,0
2026-01-13 14:14:55.523000+00:00,bosch_acc_x,-2472.0,SMART_DATA,0,0
2026-01-13 14:14:55.543000+00:00,bosch_acc_x,-3456.0,SMART_DATA,0,0
2026-01-13 14:14:55.563000+00:00,bosch_acc_x,-5106.0,SMART_DATA,0,0
2026-01-13 14:14:55.583000+00:00,bosch_acc_x,-6548.0,SMART_DATA,0,0
2026-01-13 14:14:55.603000+00:00,bosch_acc_x,-13304.0,SMART_DATA,0,0
2026-01-13 14:14:55.623000+00:00,bosch_acc_x,-21125.0,SMART_DATA,0,0
2026-01-13 14:14:55.643000+00:00,bosch_acc_x,-22524.0,SMART_DATA,0,0
2026-01-13 14:14:55.664000+00:00,bosch_acc_x,-12008.0,SMART_DATA,0,0
2026-01-13 14:14:55.684000+00:00,bosch_acc_x,-683.0,SMART_DATA,0,0
2026-01-13 14:14:55.704000+00:00,bosch_acc_x,-474.0,SMART_DATA,0,0
2026-01-13 14:14:55.724000+00:00,bosch_acc_x,-2027.0,SMART_DATA,0,0
2026-01-13 14:14:55.744000+00:00,bosch_acc_x,-4576.0,SMART_DATA,0,0
2026-01-13 14:14:55.764000+00:00,bosch_acc_x,-3727.0,SMART_DATA,0,0
2026-01-13 14:14:55.784000+00:00,bosch_acc_x,748.0,SMART_DATA,0,0
2026-01-13 14:14:55.804000+00:00,bosch_acc_x,3546.0,SMART_DATA,0,0
2026-01-13 14:14:55.824000+00:00,bosch_acc_x,-2142.0,SMART_DATA,0,0
2026-01-13 14:14:55.844000+00:00,bosch_acc_x,-1170.0,SMART_DATA,0,0
2026-01-13 14:14:55.864000+00:00,bosch_acc_x,596.0,SMART_DATA,0,0
2026-01-13 14:14:55.884000+00:00,bosch_acc_x,-2899.0,SMART_DATA,0,0
2026-01-13 14:14:55.905000+00:00,bosch_acc_x,-3994.0,SMART_DATA,0,0
2026-01-13 14:14:55.925000+00:00,bosch_acc_x,-3209.0,SMART_DATA,0,0
2026-01-13 14:14:55.945000+00:00,bosch_acc_x,-1435.0,SMART_DATA,0,0
2026-01-13 14:14:55.965000+00:00,bosch_acc_x,-896.0,SMART_DATA,0,0
2026-01-13 14:14:55.985000+00:00,bosch_acc_x,-197.0,SMART_DATA,0,0
2026-01-13 14:14:56.005000+00:00,bosch_acc_x,371.0,SMART_DATA,0,0
2026-01-13 14:14:56.025000+00:00,bosch_acc_x,508.0,SMART_DATA,0,0
2026-01-13 14:14:56.045000+00:00,bosch_acc_x,975.0,SMART_DATA,0,0
2026-01-13 14:14:56.065000+00:00,bosch_acc_x,293.0,SMART_DATA,0,0
2026-01-13 14:14:56.085000+00:00,bosch_acc_x,-592.0,SMART_DATA,0,0
2026-01-13 14:14:56.105000+00:00,bosch_acc_x,-770.0,SMART_DATA,0,0
2026-01-13 14:14:56.126000+00:00,bosch_acc_x,-825.0,SMART_DATA,0,0
2026-01-13 14:14:56.146000+00:00,bosch_acc_x,54.0,SMART_DATA,0,0
2026-01-13 14:14:56.166000+00:00,bosch_acc_x,832.0,SMART_DATA,0,0
2026-01-13 14:14:56.186000+00:00,bosch_acc_x,502.0,SMART_DATA,0,0
2026-01-13 14:14:56.206000+00:00,bosch_acc_x,-148.0,SMART_DATA,0,0
2026-01-13 14:14:56.226000+00:00,bosch_acc_x,-382.0,SMART_DATA,0,0
2026-01-13 14:14:56.246000+00:00,bosch_acc_x,-826.0,SMART_DATA,0,0
2026-01-13 14:14:56.266000+00:00,bosch_acc_x,-1178.0,SMART_DATA,0,0
